datetime,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity
2020-01-01 07:00:00,17,23,15,25.5,3.3000000000000003,75.27
2020-01-01 07:30:00,94,111,74,26.3,3.7,71.88
2020-01-01 08:00:00,201,258,128,27.200000000000003,4.0,67.89
2020-01-01 08:30:00,302,351,167,28.4,4.3,63.370000000000005
2020-01-01 09:00:00,414,501,174,29.5,4.6000000000000005,56.16
2020-01-01 09:30:00,509,561,194,30.6,4.6000000000000005,52.74
2020-01-01 10:00:00,598,628,198,31.6,4.6000000000000005,46.84
2020-01-01 10:30:00,667,661,206,32.5,4.4,44.48
2020-01-01 11:00:00,731,716,197,33.300000000000004,4.2,42.16
2020-01-01 11:30:00,771,731,201,33.800000000000004,4.0,40.96
2020-01-01 12:00:00,662,367,369,34.300000000000004,3.8,40.21
2020-01-01 12:30:00,601,251,400,34.5,3.7,39.76
2020-01-01 13:00:00,614,292,384,34.800000000000004,3.5,39.56
2020-01-01 13:30:00,605,323,359,34.800000000000004,3.5,39.52
2020-01-01 14:00:00,543,277,344,34.800000000000004,3.4000000000000004,40.02
2020-01-01 14:30:00,512,319,301,34.6,3.3000000000000003,40.42
2020-01-01 15:00:00,418,242,274,34.4,3.3000000000000003,41.35
2020-01-01 15:30:00,354,246,227,34.0,3.2,42.27
2020-01-01 16:00:00,326,413,151,33.5,3.1,43.92
2020-01-01 16:30:00,196,202,131,32.800000000000004,2.7,45.72
2020-01-01 17:00:00,119,165,83,32.1,2.3000000000000003,48.59
2020-01-01 17:30:00,48,90,38,31.1,1.9,51.42
2020-01-02 07:00:00,31,144,22,25.3,3.8,74.16
2020-01-02 07:30:00,120,381,54,26.6,4.1000000000000005,68.69
2020-01-02 08:00:00,229,551,74,27.8,4.4,63.89
2020-01-02 08:30:00,340,654,90,29.1,4.4,59.26
2020-01-02 09:00:00,448,733,98,30.4,4.3,54.89
2020-01-02 09:30:00,547,783,106,31.4,4.2,51.86
2020-01-02 10:00:00,557,528,221,32.300000000000004,4.0,49.23
2020-01-02 10:30:00,602,469,274,32.9,3.9,47.6
2020-01-02 11:00:00,761,839,135,33.5,3.8,46.1
2020-01-02 11:30:00,682,470,316,33.800000000000004,3.7,45.29
2020-01-02 12:00:00,821,844,147,34.1,3.6,44.47
2020-01-02 12:30:00,700,459,332,34.2,3.6,44.18
2020-01-02 13:00:00,713,522,301,34.300000000000004,3.5,43.83
2020-01-02 13:30:00,767,778,174,34.300000000000004,3.4000000000000004,43.83
2020-01-02 14:00:00,616,437,301,34.300000000000004,3.4000000000000004,43.54
2020-01-02 14:30:00,616,626,200,34.1,3.3000000000000003,44.03
2020-01-02 15:00:00,570,696,154,33.800000000000004,3.2,44.47
2020-01-02 15:30:00,421,449,189,33.5,3.1,45.22
2020-01-02 16:00:00,329,414,152,33.1,3.0,45.88
2020-01-02 16:30:00,239,393,110,32.5,2.5,47.45
2020-01-02 17:00:00,132,236,80,31.8,2.0,49.86
2020-01-02 17:30:00,53,128,39,30.9,1.5,52.52
2020-01-03 07:00:00,21,0,21,24.9,3.2,69.57000000000001
2020-01-03 07:30:00,123,428,50,26.200000000000003,3.5,64.49
2020-01-03 08:00:00,231,584,68,27.6,3.8,61.24
2020-01-03 08:30:00,342,685,81,29.3,3.7,55.5
2020-01-03 09:00:00,449,749,91,30.9,3.7,50.78
2020-01-03 09:30:00,548,798,100,31.9,3.5,47.99
2020-01-03 10:00:00,617,733,151,32.9,3.2,45.8
2020-01-03 10:30:00,690,763,158,33.5,3.1,44.25
2020-01-03 11:00:00,746,776,167,34.0,2.9000000000000004,43.31
2020-01-03 11:30:00,787,790,171,34.4,2.8000000000000003,42.32
2020-01-03 12:00:00,810,799,172,34.7,2.7,41.45
